Heisig_number,Kanji,Chapter
1,一,1
2,二,1
3,三,1
4,四,1
5,五,1
6,六,1
7,七,1
8,八,1
9,九,1
10,十,1
11,口,1
12,日,1
13,月,1
14,田,1
15,目,1
16,古,2
17,吾,2
18,冒,2
19,朋,2
20,明,2
21,唱,2
22,晶,2
23,品,2
24,呂,2
25,昌,2
26,早,2
27,旭,2
28,世,2
29,胃,2
30,旦,2
31,胆,2
32,亘,2
33,凹,2
34,凸,2
35,旧,3
36,自,3
37,白,3
38,百,3
39,中,3
40,千,3
41,舌,3
42,升,3
43,昇,3
44,丸,3
45,寸,3
46,肘,3
47,専,3
48,博,3
49,占,3
50,上,3
51,下,3
52,卓,3
53,朝,3
54,嘲,3
55,只,4
56,貝,4
57,唄,4
58,貞,4
59,員,4
60,貼,4
61,見,4
62,児,4
63,元,4
64,頁,4
65,頑,4
66,凡,4
67,負,4
68,万,4
69,句,4
70,肌,4
71,旬,4
72,勺,4
73,的,4
74,首,4
75,乙,5
76,乱,5
77,直,5
78,具,5
79,真,5
80,工,5
81,左,5
82,右,5
83,有,5
84,賄,5
85,貢,5
86,項,5
87,刀,5
88,刃,5
89,切,5
90,召,5
91,昭,5
92,則,5
93,副,5
94,別,5
95,丁,5
96,町,5
97,可,5
98,頂,5
99,子,6
100,孔,6
101,了,6
102,女,6
103,好,6
104,如,6
105,母,6
106,貫,6
107,兄,6
108,呪,6
109,克,6
110,小,7
111,少,7
112,大,7
113,多,7
114,夕,7
115,汐,7
116,外,7
117,名,7
118,石,7
119,肖,7
120,硝,7
121,砕,7
122,砂,7
123,妬,7
124,削,7
125,光,7
126,太,7
127,器,7
128,臭,7
129,嗅,7
130,妙,7
131,省,7
132,厚,7
133,奇,7
134,川,8
135,州,8
136,順,8
137,水,8
138,氷,8
139,永,8
140,泉,8
141,腺,8
142,原,8
143,願,8
144,泳,8
145,沼,8
146,沖,8
147,汎,8
148,江,8
149,汰,8
150,汁,8
151,沙,8
152,潮,8
153,源,8
154,活,8
155,消,8
156,況,8
157,河,8
158,泊,8
159,湖,8
160,測,8
161,土,8
162,吐,8
163,圧,8
164,埼,8
165,垣,8
166,填,8
167,圭,8
168,封,8
169,涯,8
170,寺,8
171,時,8
172,均,8
173,火,8
174,炎,8
175,煩,8
176,淡,8
177,灯,8
178,畑,8
179,災,8
180,灰,8
181,点,8
182,照,8
183,魚,8
184,漁,8
185,里,9
186,黒,9
187,墨,9
188,鯉,9
189,量,9
190,厘,9
191,埋,9
192,同,9
193,洞,9
194,胴,9
195,向,9
196,尚,9
197,字,9
198,守,9
199,完,9
200,宣,9
201,宵,9
202,安,9
203,宴,9
204,寄,9
205,富,9
206,貯,9
207,木,10
208,林,10
209,森,10
210,桂,10
211,柏,10
212,枠,10
213,梢,10
214,棚,10
215,杏,10
216,桐,10
217,植,10
218,椅,10
219,枯,10
220,朴,10
221,村,10
222,相,10
223,机,10
224,本,10
225,札,10
226,暦,10
227,案,10
228,燥,10
229,未,10
230,昧,10
231,末,10
232,沫,10
233,味,10
234,妹,10
235,朱,10
236,株,10
237,若,10
238,草,10
239,苦,10
240,苛,10
241,寛,10
242,薄,10
243,葉,10
244,模,10
245,漠,10
246,墓,10
247,暮,10
248,膜,10
249,苗,10
250,兆,11
251,桃,11
252,眺,11
253,犬,11
254,状,11
255,黙,11
256,然,11
257,荻,11
258,狩,11
259,猫,11
260,牛,11
261,特,11
262,告,11
263,先,11
264,洗,11
265,介,12
266,界,12
267,茶,12
268,脊,12
269,合,12
270,塔,12
271,王,12
272,玉,12
273,宝,12
274,珠,12
275,現,12
276,玩,12
277,狂,12
278,旺,12
279,皇,12
280,呈,12
281,全,12
282,栓,12
283,理,12
284,主,12
285,注,12
286,柱,12
287,金,12
288,銑,12
289,鉢,12
290,銅,12
291,釣,12
292,針,12
293,銘,12
294,鎮,12
295,道,13
296,導,13
297,辻,13
298,迅,13
299,造,13
300,迫,13
301,逃,13
302,辺,13
303,巡,13
304,車,13
305,連,13
306,軌,13
307,輸,13
308,喩,13
309,前,13
310,煎,13
311,各,13
312,格,13
313,賂,13
314,略,13
315,客,13
316,額,13
317,夏,13
318,処,13
319,条,13
320,落,13
321,冗,14
322,冥,14
323,軍,14
324,輝,14
325,運,14
326,冠,14
327,夢,14
328,坑,14
329,高,14
330,享,14
331,塾,14
332,熟,14
333,亭,14
334,京,14
335,涼,14
336,景,14
337,鯨,14
338,舎,14
339,周,14
340,週,14
341,士,14
342,吉,14
343,壮,14
344,荘,14
345,売,14
346,学,15
347,覚,15
348,栄,15
349,書,15
350,津,15
351,牧,15
352,攻,15
353,敗,15
354,枚,15
355,故,15
356,敬,15
357,言,15
358,警,15
359,計,15
360,詮,15
361,獄,15
362,訂,15
363,訃,15
364,討,15
365,訓,15
366,詔,15
367,詰,15
368,話,15
369,詠,15
370,詩,15
371,語,15
372,読,15
373,調,15
374,談,15
375,諾,15
376,諭,15
377,式,16
378,試,16
379,弐,16
380,域,16
381,賊,16
382,栽,16
383,載,16
384,茂,16
385,戚,16
386,成,16
387,城,16
388,誠,16
389,威,16
390,滅,16
391,減,16
392,蔑,16
393,桟,16
394,銭,16
395,浅,17
396,止,17
397,歩,17
398,渉,17
399,頻,17
400,肯,17
401,企,17
402,歴,17
403,武,17
404,賦,17
405,正,17
406,証,17
407,政,17
408,定,17
409,錠,17
410,走,17
411,超,17
412,赴,17
413,越,17
414,是,17
415,題,17
416,堤,17
417,建,17
418,鍵,17
419,延,17
420,誕,17
421,礎,17
422,婿,17
423,衣,18
424,裁,18
425,装,18
426,裏,18
427,壊,18
428,哀,18
429,遠,18
430,猿,18
431,初,18
432,巾,18
433,布,18
434,帆,18
435,幅,18
436,帽,18
437,幕,18
438,幌,18
439,錦,18
440,市,18
441,柿,18
442,姉,18
443,肺,18
444,帯,18
445,滞,18
446,刺,18
447,制,18
448,製,18
449,転,18
450,芸,18
451,雨,18
452,雲,18
453,曇,18
454,雷,18
