id;Comp. Word;Frequency;Grammatical Feature;Pronunciation;English Translation;heisig_numbers;max_heisig_numbers
1;問題;238663;adjective stem for -nai negation;もんだい;question;(1744, 415);1744
2;首相;224822;general noun;しゅしょう;Prime Minister;(74, 222);222
3;写真;211918;general noun;しゃしん;photograph;(1336, 79);1336
4;現在;193742;possible to use as an adverb;げんざい;now;(275, 740);740
5;世界;183195;general noun;せかい;the world;(28, 266);266
6;政府;181556;general noun;せいふ;government;(407, 1077);1077
7;説明;174920;light-verb -suru attached;せつめい;explanation;(538, 20);538
8;交渉;170891;light-verb -suru attached;こうしょう;negotiations;(1368, 398);1368
9;代表;162696;light-verb -suru attached;だいひょう;representative;(1080, 1666);1666
10;委員;150054;general noun;いいん;committee member;(979, 59);979
11;関係;146333;light-verb -suru attached;かんけい;relation;(2173, 1493);2173
12;事件;142862;general noun;じけん;event;(1240, 1032);1240
13;発表;140557;light-verb -suru attached;はっぴょう;announcement;(1840, 1666);1840
14;経済;139962;general noun;けいざい;economics;(1460, 1868);1868
15;昨年;138391;possible to use as an adverb;さくねん;last year;(1222, 1114);1222
16;表示;136067;light-verb -suru attached;ひょうじ;indication;(1666, 1167);1666
17;情報;135096;general noun;じょうほう;news;(1657, 1625);1657
18;社会;133618;general noun;しゃかい;society;(1173, 814);1173
19;時間;133613;possible to use as an adverb;じかん;time;(171, 1747);1747
20;容疑;130370;general noun;ようぎ;suspect;(853, 1513);1513
21;大会;129583;general noun;たいかい;convention;(112, 814);814
22;監督;128290;light-verb -suru attached;かんとく;supervision;(1562, 776);1562
23;著作;127950;light-verb -suru attached;ちょさく;writing;(1347, 1224);1347
24;必要;126985;adjectival noun, na-adjective;ひつよう;necessary;(685, 1730);1730
25;会社;124229;general noun;かいしゃ;company;(814, 1173);1173
26;本文;123894;general noun;ほんぶん;text;(224, 1861);1861
27;調査;123787;light-verb -suru attached;ちょうさ;investigation;(373, 1920);1920
28;選手;122240;general noun;せんしゅ;player;(1944, 687);1944
29;以上;121572;nonselfsustaining noun;いじょう;not less than;(1105, 50);1105
30;野球;121270;general noun;やきゅう;baseball;(1722, 1005);1722
31;国際;120870;general noun;こくさい;international;(624, 1392);1392
32;企業;114671;general noun;きぎょう;enterprise;(401, 1931);1931
33;女性;114178;general noun;じょせい;woman;(102, 1679);1679
34;可能;112430;adjectival noun, na-adjective;かのう;potential;(97, 2160);2160
35;選挙;111854;light-verb -suru attached;せんきょ;election;(1944, 2088);2088
36;自分;110715;general noun;じぶん;myself;(36, 844);844
37;全国;110372;general noun;ぜんこく;countrywide;(281, 624);624
38;試合;107924;light-verb -suru attached;しあい;match;(378, 269);378
39;政治;104674;general noun;せいじ;politics;(407, 807);807
40;政権;101593;general noun;せいけん;administration;(407, 613);613
41;今年;99761;possible to use as an adverb;ことし;this year;(1711, 1114);1711
42;会議;97984;light-verb -suru attached;かいぎ;meeting;(814, 692);814
43;国民;96900;general noun;こくみん;nation;(624, 1976);1976
44;会長;96737;general noun;かいちょう;president;(814, 2070);2070
45;支援;93865;light-verb -suru attached;しえん;support;(768, 2101);2101
46;研究;92835;light-verb -suru attached;けんきゅう;study;(729, 1417);1417
